"id","label","x","y"
50049,"Aternum",42.465,14.214
50112,"Catabathmus Maior",31.563,25.16
50019,"Alexandria Troas",39.761,26.153
50011,"Aesuris",37.218,-7.445
50036,"Arae Philaenorum",30.294,18.788
50065,"Barcino",41.388,2.17
50097,"Calagurris",42.304,-1.965
50066,"Barium",41.129,16.87
50051,"Aufidena",41.336,16.194
50023,"Ancyra",39.972,32.801
50054,"Augusta Suessionum",49.381,3.326
50025,"Caesarea (Phrygia)",38.304,31.19
50027,"Apamea (Pisidia)",38.069,30.17
50043,"Arretium",43.471,11.863
50057,"Augustobona",48.297,4.075
50058,"Augustobriga",39.807,-5.676
50015,"Alba Fucens",42.08,13.412
50013,"Aguntum",46.827,12.823
50004,"Ad Tricesimum",46.158,13.216
50028,"Aphroditopolis",29.408,31.252
50052,"Augusta Praetoria",45.737,7.314
50048,"Asturica",42.459,-6.064
50056,"Augusta Vindelicum",48.365,10.895
50062,"Aventicum",46.88,7.041
50060,"Auzia",36.143,3.693
50061,"Avaricum",47.083,2.397
50080,"Bostra",32.518,36.484
50063,"Bagacum",50.297,3.792
50068,"Beneharnum",43.333,-0.435
50083,"Brigantium",47.503,9.747
50092,"Caeciliana",36.654,38.113
50091,"Cabilonnum",46.784,4.853
50072,"Beroia",36.203,37.149
50067,"Batnae",36.976,38.424
50075,"Bilbilis",41.382,-1.603
50093,"Caesaraugusta",41.675,-0.889
50095,"Caesarea (Cappadocia)",38.722,35.328
50131,"Corduba",37.885,-4.779
50120,"Cirta",36.368,6.614
50119,"Circesium",35.243,40.379
50127,"Comum",45.812,9.086
50116,"Cetium",48.205,15.623
50099,"Cambete",47.691,7.504
50100,"Cambodunum",47.727,10.327
50103,"Capsa",34.413,8.79
50122,"Clusium",43.017,11.948
50124,"Augusta Treverorum",49.754,6.646
50105,"Carnuntum",48.113,16.868
50139,"Cyrrhus",36.735,36.949
50133,"Coriosopitum",54.978,-2.029
50771,"x",,
50137,"Curia",46.849,9.531
50142,"Decetia",46.828,3.461
50182,"Genava",46.203,6.139
50148,"Diana Veteranorum",35.694,6.189
50149,"Dierna",44.725,22.396
50168,"Endidae",46.318,11.274
50140,"Damascus",33.512,36.309
50218,"Klaudianon",26.799,33.486
50220,"Lacobriga",42.339,-4.602
50213,"Jerusalem",31.777,35.234
50222,"Lambaesis",35.492,6.256
50197,"Hierasykaminos",23.069,32.683
50211,"Iulium Carnicum",46.461,13.026
50215,"Kapitolias",32.598,35.858
50189,"Heliopolis",30.132,31.285
50219,"Flaviopolis",40.812,32.165
50192,"Herakleopolis",29.086,30.938
50251,"Mediolanum",45.464,9.188
50263,"Naissus",43.316,21.894
50253,"Melitene",38.25,37.25
50242,"Lutetia",48.856,2.342
50248,"Mariana",38.547,-2.927
50258,"Mounesis",24.684,30.606
50262,"Myos Hormos",26.157,34.244
50224,"Lancia",42.534,-5.414
50228,"Lauriacum",48.221,14.466
50231,"Limonum",46.587,0.343
50270,"Nemetacum",50.293,2.782
50236,"Lousonna",46.519,6.632
50298,"Penne Locos",46.398,6.926
50295,"Pax Iulia",38.016,-7.865
50279,"Ocriculum",42.412,12.467
50277,"Noviomagus",49.317,8.431
50299,"Perdices",35.932,5.39
50293,"Parthanum",47.492,11.086
50314,"Pons Aeni",47.856,12.124
50313,"Pompelo",42.818,-1.644
50302,"Petra",30.326,35.468
50304,"Philadelpheia",31.931,35.926
50315,"Pons Drusi",46.497,11.358
50306,"Philippopolis",42.144,24.75
50309,"Placentia",45.052,9.699
50310,"Poetovio",46.42,15.87
50308,"Pistoriae",43.932,10.919
50772,"x",,
50316,"Porolissum",47.23,23.127
50338,"Samosata",37.565,38.471
50340,"Sardis",38.488,28.04
50173,"Ferentinum",41.693,13.253
50342,"Satala",40.029,39.654
50343,"Savaria",47.235,16.622
50344,"Scarbantia",47.685,16.583
50339,"Santicum",46.616,13.849
50180,"Galacum",54.172,-2.59
50206,"Iol Caesarea",36.607,2.197
50204,"Ilium",39.949,26.344
50207,"Isca",50.5,-3.5
50223,"Lampsacus",40.347,26.699
50216,"Katabolos",36.908,35.989
50214,"Kallipolis",40.41,26.684
50307,"Pisae",43.716,10.397
50301,"Perinthus",40.971,27.953
50311,"Pola",44.87,13.841
50312,"Pompeii",40.749,14.485
50303,"Petuaria",53.688,-0.591
50430,"Heraclea Pontica",41.283,31.419
50405,"Tyrus",33.272,35.198
50401,"Trapezus",41.003,39.718
50411,"Venta Icenorum",52.578,1.288
50417,"Vibo Valentia",38.676,16.098
50347,"Sebasteia",39.75,37.015
50346,"Scythopolis",32.61,35.477
50350,"Serdica",42.723,23.343
50355,"Singara",36.404,42.219
50352,"Sicca Veneria",36.179,8.71
50348,"Segusio",45.138,7.048
50351,"Servitium",45.151,17.256
50117,"Chalcedon",40.983,29.026
50024,"Antiochia",36.202,36.158
50107,"Carthago",36.847,10.313
50129,"Constantinopolis",41.125,28.875
50429,"Lugdunum",45.759,4.819
50026,"Apamea",35.557,36.401
50029,"Claudia Aprensis",40.969,27.065
50073,"Berytus",33.899,35.521
50108,"Carthago Nova",37.606,-0.991
50431,"Laodicea ad Lycum",37.855,29.136
50031,"Aquae Sextiae",43.526,5.445
50086,"Brundisium",40.636,17.939
50110,"Castrum Truentinum",42.914,13.904
50016,"Albulae",35.302,-1.145
50032,"Aquae Sulis",51.381,-2.357
50084,"Flavium Brigantium",43.371,-8.396
50121,"Civitas Namnetum",47.215,-1.557
50169,"Ephesus",37.94,27.341
50172,"Faventia",44.286,11.884
50064,"Banasa",34.602,-6.115
50076,"Claudiopolis",40.756,31.586
50087,"Bulla Regia",36.556,8.751
50183,"Genua",44.407,8.934
50185,"Gesoriacum",50.725,1.615
50193,"Herdoniae",41.317,15.628
50196,"Hierakonpolis",31.038,30.347
50177,"Fregellanum",41.546,13.513
50089,"Burnum",44.032,15.994
50090,"Burrio",51.704,-2.903
50102,"Canusium",41.222,16.066
50069,"Beneventum",41.13,14.781
50128,"Conimbriga",40.194,-8.408
50135,"Cuicul",36.315,5.738
50136,"Cumae",40.847,14.056
50141,"Darnis",32.769,22.642
50144,"Dertona",44.897,8.865
50227,"Larissa",39.633,22.424
50237,"Luca",43.843,10.508
50241,"Luna",44.066,10.031
50243,"Lydda",31.966,34.892
50247,"Marcianopolis",43.225,27.585
50255,"Minturnae",41.242,13.769
50268,"Neapolis",40.84,14.253
50271,"Nicaea",40.43,29.714
50297,"Pelusium",31.05,32.6
50225,"Laodicea",35.641,35.794
50233,"Lixus",35.199,-6.11
50234,"Loium",49.523,0.724
50240,"Luguvalium",54.895,-2.934
50250,"Massilia",43.297,5.382
50267,"Naucratis",30.901,30.592
50256,"Misenum",40.786,14.085
50266,"Narona",43.081,17.628
50269,"Nemausus",43.835,4.36
50272,"Nicomedia",40.766,29.916
50273,"Nicopolis",39.008,20.736
50280,"Odessus",43.212,27.909
50291,"Paraetonium",31.35,27.237
50230,"Lepcis Magna",32.637,14.292
50317,"Portus",41.78,12.258
50278,"Nuceria",40.743,14.674
